logTP,fit,se,lwr,upr,LM,JB,DR,TSI
2.400712253,0.840785329,0.027293748,0.79584546,0.885725199,2.552576652,2.705325232,2.369388856,2.819704396
2.410712253,0.85452862,0.026811578,0.810382656,0.898674583,2.586293364,2.745112722,2.403971245,2.86085936
2.420712253,0.868326181,0.026354364,0.824933032,0.91171933,2.620455437,2.785485371,2.439058381,2.902615001
2.430712253,0.882177482,0.025921919,0.839496365,0.9248586,2.655068753,2.826451785,2.47465763,2.944980087
2.440712253,0.896081984,0.025513995,0.854072524,0.938091444,2.690139272,2.868020696,2.510776468,2.987963511
2.450712253,0.910039133,0.025130284,0.868661463,0.951416803,2.725673034,2.910200964,2.547422479,3.031574299
2.460712253,0.924048368,0.024770414,0.883263234,0.964833502,2.761676158,2.953001583,2.584603355,3.075821608
2.470712253,0.938109116,0.024433951,0.897877977,0.978340254,2.798154844,2.996431674,2.622326905,3.120714729
2.480712253,0.952220792,0.024120398,0.912505926,0.991935658,2.835115372,3.040500496,2.660601048,3.166263086
2.490712253,0.966382804,0.023829199,0.927147406,1.005618202,2.872564108,3.085217443,2.699433822,3.212476244
2.500712253,0.980594546,0.023559736,0.941802825,1.019386267,2.9105075,3.130592046,2.738833378,3.259363905
2.510712253,0.994855404,0.023311338,0.956472676,1.033238132,2.948952083,3.176633978,2.77880799,3.306935915
2.520712253,1.009164752,0.023083282,0.971157525,1.047171979,2.987904476,3.223353053,2.819366052,3.355202262
2.530712253,1.023521955,0.022874795,0.985858008,1.061185903,3.027371387,3.270759231,2.860516078,3.404173079
2.540712253,1.037926368,0.022685063,1.000574819,1.075277916,3.067359612,3.318862616,2.902266708,3.45385865
2.550712253,1.052377334,0.022513235,1.015308704,1.089445964,3.107876038,3.367673462,2.94462671,3.504269406
2.560712253,1.066874188,0.022358429,1.030060449,1.103687926,3.14892764,3.417202175,2.987604977,3.555415931
2.570712253,1.081416254,0.022219739,1.044830873,1.118001636,3.190521489,3.467459311,3.031210532,3.607308965
2.580712253,1.096002848,0.02209624,1.059620812,1.132384884,3.232664747,3.518455584,3.075452532,3.659959403
2.590712253,1.110633274,0.021986994,1.074431113,1.146835434,3.27536467,3.570201864,3.120340265,3.7133783
2.600712253,1.125306827,0.02189106,1.089262625,1.161351029,3.318628612,3.622709182,3.165883157,3.767576872
2.610712253,1.140022794,0.021807495,1.104116184,1.175929404,3.362464023,3.67598873,3.21209077,3.822566499
2.620712253,1.154780451,0.021735364,1.118992605,1.190568296,3.406878451,3.730051866,3.258972805,3.878358726
2.630712253,1.169579065,0.021673745,1.133892678,1.205265452,3.451879544,3.784910114,3.306539107,3.934965268
2.640712253,1.184417894,0.021621729,1.148817153,1.220018636,3.497475052,3.840575168,3.354799662,3.99239801
2.650712253,1.199296189,0.021578432,1.163766736,1.234825642,3.543672827,3.897058893,3.403764603,4.050669011
2.660712253,1.214213189,0.021542995,1.178742085,1.249684292,3.590480823,3.95437333,3.453444212,4.109790505
2.670712253,1.229168125,0.021514585,1.193743798,1.264592452,3.6379071,4.012530697,3.503848919,4.169774907
2.680712253,1.244160221,0.021492404,1.208772416,1.279548027,3.685959826,4.071543389,3.554989307,4.230634811
2.690712253,1.259188692,0.021475688,1.223828411,1.294548973,3.734647276,4.131423988,3.606876114,4.292382995
2.700712253,1.274252743,0.021463707,1.238912189,1.309593298,3.783977833,4.192185256,3.659520234,4.355032423
2.710712253,1.289351574,0.021455772,1.254024085,1.324679063,3.833959992,4.253840146,3.712932721,4.418596251
2.720712253,1.304484374,0.02145123,1.269164362,1.339804385,3.88460236,4.316401801,3.76712479,4.483087823
2.730712253,1.319650325,0.021449471,1.28433321,1.35496744,3.935913657,4.379883556,3.822107818,4.548520682
2.740712253,1.334848602,0.021449924,1.299530742,1.370166463,3.98790272,4.444298944,3.877893351,4.614908565
2.750712253,1.350078373,0.021452058,1.314757,1.385399747,4.040578501,4.509661696,3.9344931,4.682265412
2.760712253,1.365338797,0.021455381,1.330011951,1.400665644,4.093950071,4.575985744,3.991918951,4.750605366
2.770712253,1.380629027,0.021459446,1.34529549,1.415962565,4.14802662,4.643285227,4.05018296,4.819942774
2.780712253,1.395948209,0.021463839,1.360607438,1.431288981,4.202817461,4.71157449,4.10929736,4.890292195
2.790712253,1.411295482,0.021468189,1.375947547,1.446643417,4.258332028,4.78086809,4.169274564,4.961668401
2.800712253,1.426669977,0.021472163,1.3913155,1.462024455,4.31457988,4.851180798,4.230127165,5.034086377
2.810712253,1.442070822,0.021475463,1.406710911,1.477430733,4.371570705,4.922527601,4.291867939,5.107561329
2.820712253,1.457497135,0.021477828,1.42213333,1.49286094,4.429314316,4.99492371,4.354509851,5.182108684
2.830712253,1.47294803,0.021479032,1.437582242,1.508313818,4.487820655,5.068384555,4.418066051,5.257744094
2.840712253,1.488422614,0.021478884,1.453057071,1.523788158,4.547099799,5.142925797,4.482549885,5.33448344
2.850712253,1.503919991,0.021477224,1.468557181,1.539282802,4.607161954,5.218563324,4.547974892,5.412342834
2.860712253,1.519439256,0.021473924,1.484081879,1.554796634,4.668017464,5.29531326,4.61435481,5.491338624
2.870712253,1.534979502,0.021468888,1.499630416,1.570328587,4.729676808,5.373191964,4.681703574,5.571487396
2.880712253,1.550539813,0.021462048,1.515201991,1.585877636,4.792150604,5.452216039,4.750035327,5.652805979
2.890712253,1.566119273,0.021453363,1.530795749,1.601442796,4.855449609,5.532402329,4.819364415,5.735311446
2.900712253,1.581716957,0.021442823,1.546410789,1.617023125,4.919584724,5.613767926,4.889705395,5.819021121
2.910712253,1.597331938,0.021430439,1.562046161,1.632617715,4.984566994,5.696330176,4.961073036,5.903952579
2.920712253,1.612963285,0.021416249,1.577700872,1.648225699,5.050407606,5.780106677,5.033482323,5.990123654
2.930712253,1.628610062,0.021400315,1.593373884,1.663846241,5.117117901,5.865115287,5.106948459,6.077552437
2.940712253,1.64427133,0.021382722,1.60906412,1.67947854,5.184709365,5.951374128,5.181486868,6.166257287
2.950712253,1.659946145,0.021363573,1.624770464,1.695121826,5.253193637,6.038901586,5.257113203,6.256256827
2.960712253,1.675633562,0.021342995,1.640491763,1.71077536,5.32258251,6.127716319,5.33384334,6.347569954
2.970712253,1.69133263,0.021321131,1.656226831,1.72643843,5.392887934,6.217837259,5.411693392,6.440215841
2.980712253,1.707042399,0.021298145,1.671974448,1.742110351,5.464122015,6.309283617,5.490679703,6.53421394
2.990712253,1.722761913,0.021274214,1.687733363,1.757790463,5.536297019,6.402074886,5.570818858,6.629583988
3.000712253,1.738490216,0.021249535,1.7035023,1.773478131,5.609425374,6.496230845,5.652127683,6.726346008
3.010712253,1.754226347,0.021224317,1.719279955,1.78917274,5.683519675,6.591771566,5.73462325,6.824520316
3.020712253,1.769969346,0.021198781,1.735064999,1.804873694,5.758592679,6.688717413,5.81832288,6.924127527
3.030712253,1.78571825,0.021173164,1.750856082,1.820580419,5.834657315,6.787089053,5.903244147,7.025188554
3.040712253,1.801472095,0.021147711,1.766651836,1.836292354,5.91172668,6.886907454,5.989404882,7.127724616
3.050712253,1.817229915,0.021122677,1.782450875,1.852008954,5.989814046,6.988193895,6.076823175,7.231757242
3.060712253,1.832990743,0.021098327,1.798251797,1.867729689,6.06893286,7.090969965,6.16551738,7.337308275
3.070712253,1.848753612,0.021074931,1.814053188,1.883454037,6.149096746,7.195257574,6.255506121,7.444399876
3.080712253,1.864517556,0.021052767,1.829853625,1.899181487,6.230319508,7.301078951,6.346808292,7.553054533
3.090712253,1.880281604,0.021032117,1.845651675,1.914911534,6.312615132,7.408456653,6.439443062,7.663295057
